transmitter_contract,receiver_contract,scenario,decisions,errors,bit_error_rate,scope
fldigi-FSKH105,fldigi-FSKH105,clean,280,0,0.000000,source-derived tone decisions; not text or application decode
fldigi-FSKH105,fldigi-FSKH105,reverse-uncompensated,280,280,1.000000,source-derived tone decisions; not text or application decode
fldigi-FSKH105,fldigi-FSKH105,offset-plus-10Hz,280,0,0.000000,source-derived tone decisions; not text or application decode
fldigi-FSKH105,fldigi-FSKH105,offset-plus-25Hz,280,46,0.164286,source-derived tone decisions; not text or application decode
fldigi-FSKH105,fldigi-FSKH105,offset-plus-50Hz,280,140,0.500000,source-derived tone decisions; not text or application decode
fldigi-FSKH105,fldigi-FSKH105,awgn-0dB,280,1,0.003571,source-derived tone decisions; not text or application decode
fldigi-FSKH105,fldigi-FSKH105,awgn-minus-6dB,280,25,0.089286,source-derived tone decisions; not text or application decode
fldigi-FSKH105,xfhell-FMHell105,clean,240,0,0.000000,source-derived tone decisions; not text or application decode
fldigi-FSKH105,xfhell-FMHell105,reverse-uncompensated,240,240,1.000000,source-derived tone decisions; not text or application decode
fldigi-FSKH105,xfhell-FMHell105,offset-plus-10Hz,240,40,0.166667,source-derived tone decisions; not text or application decode
fldigi-FSKH105,xfhell-FMHell105,offset-plus-25Hz,240,104,0.433333,source-derived tone decisions; not text or application decode
fldigi-FSKH105,xfhell-FMHell105,offset-plus-50Hz,240,120,0.500000,source-derived tone decisions; not text or application decode
fldigi-FSKH105,xfhell-FMHell105,awgn-0dB,240,22,0.091667,source-derived tone decisions; not text or application decode
fldigi-FSKH105,xfhell-FMHell105,awgn-minus-6dB,240,48,0.200000,source-derived tone decisions; not text or application decode
xfhell-FMHell105,fldigi-FSKH105,clean,326,27,0.082822,source-derived tone decisions; not text or application decode
xfhell-FMHell105,fldigi-FSKH105,reverse-uncompensated,326,299,0.917178,source-derived tone decisions; not text or application decode
xfhell-FMHell105,fldigi-FSKH105,offset-plus-10Hz,326,44,0.134969,source-derived tone decisions; not text or application decode
xfhell-FMHell105,fldigi-FSKH105,offset-plus-25Hz,326,44,0.134969,source-derived tone decisions; not text or application decode
xfhell-FMHell105,fldigi-FSKH105,offset-plus-50Hz,326,57,0.174847,source-derived tone decisions; not text or application decode
xfhell-FMHell105,fldigi-FSKH105,awgn-0dB,326,27,0.082822,source-derived tone decisions; not text or application decode
xfhell-FMHell105,fldigi-FSKH105,awgn-minus-6dB,326,25,0.076687,source-derived tone decisions; not text or application decode
xfhell-FMHell105,xfhell-FMHell105,clean,280,0,0.000000,source-derived tone decisions; not text or application decode
xfhell-FMHell105,xfhell-FMHell105,reverse-uncompensated,280,280,1.000000,source-derived tone decisions; not text or application decode
xfhell-FMHell105,xfhell-FMHell105,offset-plus-10Hz,280,0,0.000000,source-derived tone decisions; not text or application decode
xfhell-FMHell105,xfhell-FMHell105,offset-plus-25Hz,280,0,0.000000,source-derived tone decisions; not text or application decode
xfhell-FMHell105,xfhell-FMHell105,offset-plus-50Hz,280,0,0.000000,source-derived tone decisions; not text or application decode
xfhell-FMHell105,xfhell-FMHell105,awgn-0dB,280,0,0.000000,source-derived tone decisions; not text or application decode
xfhell-FMHell105,xfhell-FMHell105,awgn-minus-6dB,280,0,0.000000,source-derived tone decisions; not text or application decode
