band,time_s,relative_frequency_hz,linear_trend_hz,phase_fit_rms_rad
2 m,1.499998,0.3967207259091232,-1.1101608887537475,0.3368707780890251
2 m,1.749998,0.4409007658397117,-1.108831179239771,0.4877632958835555
2 m,1.9999980000000002,0.5846416997298229,-1.1075014697257943,0.7367088284599063
2 m,2.249998,0.7573971926804814,-1.1061717602118177,0.7808626922795128
2 m,2.4999979999999997,0.8705229103833574,-1.1048420506978411,0.5857588556931113
2 m,2.7499979999999997,0.9025877807829898,-1.1035123411838645,0.4745640040460088
2 m,2.9999979999999997,0.8834066161600038,-1.102182631669888,0.5126590522212136
2 m,3.2499980000000006,0.8375050665555088,-1.1008529221559114,0.5353870756647819
2 m,3.4999979999999993,0.752746004668146,-1.0995232126419348,0.4742788386115969
2 m,3.7499979999999993,0.6526849066618166,-1.0981935031279582,0.3004529773984671
2 m,3.9999979999999993,0.5836558004039807,-1.0968637936139816,0.2310677573190071
2 m,4.249998,0.557562351970641,-1.095534084100005,0.26485977414881046
2 m,4.499998000000001,0.5420447835540587,-1.0942043745860284,0.26140620786824953
2 m,4.749998,0.5113009267342647,-1.0928746650720518,0.19256987122578953
2 m,4.999998,0.5059809845019672,-1.0915449555580752,0.16974844207460948
2 m,5.249998,0.5484623003918259,-1.0902152460440986,0.25257599497532124
2 m,5.499998,0.6231291068710476,-1.088885536530121,0.31925538672521897
2 m,5.749998,0.7233874589881291,-1.0875558270161445,0.39770283081649715
2 m,5.999998,0.8346391755265392,-1.086226117502168,0.4626989662910603
2 m,6.249998,0.9489116638822299,-1.0848964079881913,0.5097585298506325
2 m,6.499998,1.0577597364315912,-1.0835666984742147,0.41948277195201145
2 m,6.749998,1.1460444683188777,-1.0822369889602381,0.3018135381178617
2 m,6.999998,1.20074957855112,-1.0809072794462615,0.17193780715109497
2 m,7.249998,1.204538818647693,-1.079577569932285,0.16106118402263456
2 m,7.499998,1.142885980472725,-1.0782478604183083,0.36163974364919865
2 m,7.749998000000001,1.0780375336840384,-1.0769181509043317,0.3902695922169378
2 m,7.999998000000001,1.0466618708942903,-1.0755884413903551,0.33043719127057286
2 m,8.249998,1.0377324493006759,-1.0742587318763785,0.3106890405008071
2 m,8.499998,1.0532310725394645,-1.072929022362401,0.34859792909872167
2 m,8.749998,1.1003754742512433,-1.0715993128484245,0.3902288595024222
2 m,8.999998,1.1787327739130786,-1.0702696033344479,0.3514237489032704
2 m,9.249998,1.2660300847754735,-1.0689398938204713,0.21572853086814456
2 m,9.499998,1.3312350660297891,-1.0676101843064947,0.24624619068145007
2 m,9.749998,1.3731358580517146,-1.066280474792518,0.26669256528484964
2 m,9.999998,1.4101022493661581,-1.0649507652785415,0.19552757896801265
2 m,10.249998,1.4061272143589898,-1.063621055764565,0.21204912900287592
2 m,10.499998,1.3518583527777048,-1.0622913462505883,0.39451500354487024
2 m,10.749998,1.2454253247865958,-1.0609616367366117,0.5705696180363298
2 m,10.999998,1.1161787417391098,-1.059631927222635,0.6042747697812626
2 m,11.249998,0.9910302221876774,-1.0583022177086585,0.4782850094845128
2 m,11.499998,0.9039661636525675,-1.056972508194682,0.32235640366569124
2 m,11.749998,0.8568940226292154,-1.0556427986807053,0.16439428970345257
2 m,11.999998,0.8611700544680865,-1.0543130891667287,0.1741586812918811
