band,minute,start_s,end_s,estimate_count,mean_relative_frequency_hz,peak_to_peak_hz,linear_drift_hz_per_min,detrended_rms_hz
2 m,1,0,60,235,-0.6713382631130898,4.288537321954744,-4.855399587917898,0.5153858795489606
2 m,2,60,120,240,-1.4199063352265802,2.865183083382848,2.075585649863158,0.3223041154731739
2 m,3,120,180,240,0.03994619516064414,2.4582494618435033,1.0159165295519799,0.3335415061792935
2 m,4,180,240,240,0.21506613056200224,2.065642739096055,-0.560561991194305,0.40471997269329296
2 m,5,240,300,234,0.24139477342973714,1.7854661866339017,-0.06053018408142699,0.3280524064928734
30 m,1,0,60,235,0.20288610403321752,0.14561979489153698,-0.04927782276250247,0.028697343194764576
30 m,2,60,120,240,0.09358592916116205,0.19570540377059886,-0.07845173014056774,0.03274265703377506
30 m,3,120,180,240,0.0029274221814810336,0.20268110876661138,-0.09921501321453048,0.035325704523403216
30 m,4,180,240,240,-0.07498300125492124,0.18605959072272554,-0.0452359491393349,0.03570672011371184
30 m,5,240,300,234,-0.08989553301782591,0.1830509209988789,0.11590067160907007,0.028359834757820113
