band,time_s,rolling_60s_drift_hz_per_min
2 m,30.0,-4.855399587917898
2 m,35.0,-4.843986311691298
2 m,40.0,-4.186810419220422
2 m,45.0,-3.47443484445007
2 m,50.0,-2.33949479068686
2 m,55.0,-1.1583434199969476
2 m,60.0,-0.08051816654152942
2 m,65.0,0.6014249657807597
2 m,70.0,1.115308603810273
2 m,75.0,1.5287635125123387
2 m,80.0,1.752794147065583
2 m,85.0,1.9668832706486226
2 m,90.0,2.075585649863158
2 m,95.0,1.8980373015051122
2 m,100.0,2.0560169932816352
2 m,105.0,1.949431416316723
2 m,110.0,1.8136134996392754
2 m,115.0,1.7567091861077133
2 m,120.0,1.5442044383459281
2 m,125.0,1.4552663261339727
2 m,130.0,1.2091609575031015
2 m,135.0,1.0804117689070827
2 m,140.0,0.9668891922431206
2 m,145.0,0.9497247938243726
2 m,150.0,1.0159165295519799
2 m,155.0,1.0264667459093995
2 m,160.0,0.9908761960883208
2 m,165.0,0.9643870339862031
2 m,170.0,0.5960725215392639
2 m,175.0,0.15497809813939242
2 m,180.0,-0.18458121684226875
2 m,185.0,-0.31984635642027837
2 m,190.0,-0.5572712735748905
2 m,195.0,-0.6853871901170319
2 m,200.0,-0.5959643669168437
2 m,205.0,-0.5875221092576343
2 m,210.0,-0.560561991194305
2 m,215.0,-0.2477303779766597
2 m,220.0,0.11977575157141296
2 m,225.0,0.30991160780440963
2 m,230.0,0.39830540513678697
2 m,235.0,0.2979158891582845
2 m,240.0,0.23947423262711046
2 m,245.0,0.1967333424599628
2 m,250.0,0.20014250166320824
2 m,255.0,0.08303823617796673
2 m,260.0,-0.04271516680318622
2 m,265.0,-0.12755386079058456
2 m,270.0,-0.06053018408142699
30 m,30.0,-0.04927782276250247
30 m,35.0,-0.08409184105143823
30 m,40.0,-0.10503974487683655
30 m,45.0,-0.12681810886436545
30 m,50.0,-0.13119708718029902
30 m,55.0,-0.13037160283946686
30 m,60.0,-0.11050634451545065
30 m,65.0,-0.12139045581523764
30 m,70.0,-0.11034130274700991
30 m,75.0,-0.08168106533304928
30 m,80.0,-0.08264486258284226
30 m,85.0,-0.08295011381081885
30 m,90.0,-0.07845173014056774
30 m,95.0,-0.1017075621447686
30 m,100.0,-0.10916562620289932
30 m,105.0,-0.09377765820947999
30 m,110.0,-0.09635683882411684
30 m,115.0,-0.12260223371733515
30 m,120.0,-0.11199078445909458
30 m,125.0,-0.10755833467459144
30 m,130.0,-0.09717105713145818
30 m,135.0,-0.07721826272309108
30 m,140.0,-0.07209468138999817
30 m,145.0,-0.07481381000703846
30 m,150.0,-0.09921501321453048
30 m,155.0,-0.10058837965238737
30 m,160.0,-0.09438863296624013
30 m,165.0,-0.08956914221917678
30 m,170.0,-0.08685645765648074
30 m,175.0,-0.10284893511445803
30 m,180.0,-0.1172732750535399
30 m,185.0,-0.09506807529519444
30 m,190.0,-0.08542573751093639
30 m,195.0,-0.06940285088861974
30 m,200.0,-0.052408790092919384
30 m,205.0,-0.05512432555975084
30 m,210.0,-0.0452359491393349
30 m,215.0,-0.025859628772360515
30 m,220.0,-0.01759738018928142
30 m,225.0,-0.04512527285363279
30 m,230.0,-0.053982876379579776
30 m,235.0,-0.061371294221263216
30 m,240.0,-0.05849943349167843
30 m,245.0,-0.04744344863194059
30 m,250.0,-0.03545580427109726
30 m,255.0,0.005175725621455123
30 m,260.0,0.05216108406528483
30 m,265.0,0.07655746273696251
30 m,270.0,0.11590067160907007
