band,time_s,relative_frequency_hz,linear_trend_hz,phase_fit_rms_rad
6 m,0.9999979999999999,0.06506476551294327,0.33898698538541794,0.18601562249041936
6 m,1.249998,0.023667901754379272,0.3384898230433464,0.20250411898870624
6 m,1.499998,0.0072732046246528625,0.33799266070127487,0.17958115590125137
6 m,1.749998,0.04669772833585739,0.33749549835920334,0.3365632156553117
6 m,1.9999980000000002,0.09394939988851547,0.3369983285665512,0.39119316778299285
6 m,2.249998,0.1269594207406044,0.3365011662244797,0.3594290311721845
6 m,2.4999979999999997,0.13457325845956802,0.33600400388240814,0.3419548996024473
6 m,2.7499979999999997,0.1373613327741623,0.3355068415403366,0.3360805125298113
6 m,2.9999979999999997,0.12623894214630127,0.3350096791982651,0.33736227679337866
6 m,3.2499980000000006,0.10623060166835785,0.33451250940561295,0.29356852562022845
6 m,3.4999979999999993,0.09699041396379471,0.3340153470635414,0.25574289534127076
6 m,3.7499979999999993,0.13595369458198547,0.3335181847214699,0.2702762852630222
6 m,3.9999979999999993,0.18694701045751572,0.33302102237939835,0.20163952942572697
6 m,4.249998,0.2387348785996437,0.3325238600373268,0.12809170758388916
6 m,4.499998000000001,0.285715214908123,0.3320266902446747,0.18094166522594338
6 m,4.749998,0.30932074785232544,0.33152952790260315,0.17640912510274748
6 m,4.999998,0.30019693076610565,0.3310323655605316,0.1992513641003798
6 m,5.249998,0.2779540792107582,0.3305352032184601,0.2513310104781155
6 m,5.499998,0.24263011664152145,0.33003804087638855,0.3021735585310678
6 m,5.749998,0.20075185596942902,0.3295408710837364,0.3025291650563535
6 m,5.999998,0.15031009912490845,0.3290437087416649,0.22382595390834853
6 m,6.249998,0.09620705991983414,0.32854654639959335,0.12220627389820007
6 m,6.499998,0.061635784804821014,0.3280493840575218,0.15323072394527246
6 m,6.749998,0.03283603489398956,0.3275522217154503,0.19992078831842147
6 m,6.999998,-0.010437577962875366,0.32705505192279816,0.21784348191755004
6 m,7.249998,-0.04247000068426132,0.3265578895807266,0.1797006694923285
6 m,7.499998,-0.04444722831249237,0.3260607272386551,0.17322014874583527
6 m,7.749998000000001,-0.02671603113412857,0.32556356489658356,0.2128367961735162
6 m,7.999998000000001,0.021074339747428894,0.325066402554512,0.2545944634614175
6 m,8.249998,0.07502387464046478,0.3245692402124405,0.24404690210811525
6 m,8.499998,0.12654119729995728,0.32407207041978836,0.20730920938070582
6 m,8.749998,0.16024984419345856,0.3235749080777168,0.11438276529355954
6 m,8.999998,0.15629085898399353,0.3230777457356453,0.12339047008567725
6 m,9.249998,0.12240087240934372,0.32258058339357376,0.18863455803706294
6 m,9.499998,0.08933249115943909,0.32208342105150223,0.22898864069072003
6 m,9.749998,0.054555363953113556,0.3215862512588501,0.1947441452678932
6 m,9.999998,0.037503406405448914,0.32108908891677856,0.14642122500668817
6 m,10.249998,0.06383645534515381,0.32059192657470703,0.2602262138655195
6 m,10.499998,0.11319731920957565,0.3200947642326355,0.32045826325683446
6 m,10.749998,0.17368357628583908,0.31959760189056396,0.30662020667996803
6 m,10.999998,0.23619668930768967,0.31910043209791183,0.24312294708110446
6 m,11.249998,0.2676922306418419,0.3186032697558403,0.15768965712878566
6 m,11.499998,0.2589080482721329,0.31810610741376877,0.1896257351553999
6 m,11.749998,0.21245943009853363,0.31760894507169724,0.2912301998950388
6 m,11.999998,0.14083681255578995,0.3171117827296257,0.30760553060218054
6 m,12.249998,0.07326911389827728,0.31661461293697357,0.32337921119332075
6 m,12.499998,0.004116065800189972,0.31611745059490204,0.28429388396526845
6 m,12.749998,-0.046957142651081085,0.3156202882528305,0.1435633848432572
6 m,12.999998,-0.04847904294729233,0.31512312591075897,0.13832122583094358
6 m,13.249998,-0.009422115981578827,0.31462596356868744,0.2568854014713649
6 m,13.499998,0.050890758633613586,0.3141287937760353,0.3278251885563704
6 m,13.749998,0.10716325044631958,0.3136316314339638,0.3100772453360968
6 m,13.999998,0.1468120664358139,0.31313446909189224,0.2223226405214295
6 m,14.249998,0.15377994626760483,0.3126373067498207,0.194223047481615
6 m,14.499998,0.11788302659988403,0.3121401444077492,0.2862008761874481
6 m,14.749998,0.0497407540678978,0.31164298206567764,0.33885789203469185
6 m,14.999998,-0.014573514461517334,0.3111458122730255,0.2689984836505794
6 m,15.249998,-0.0560738742351532,0.310648649930954,0.1599339079338452
6 m,15.499998,-0.07561773806810379,0.31015148758888245,0.09894834128799575
6 m,15.749998,-0.08056434988975525,0.3096543252468109,0.08879858068167658
6 m,15.999998,-0.07603652775287628,0.3091571629047394,0.08610037172462148
6 m,16.249998,-0.06221067160367966,0.30865999311208725,0.07085387836268876
6 m,16.499998,-0.04783538728952408,0.3081628307700157,0.05951362702553233
6 m,16.749998,-0.04135318100452423,0.3076656684279442,0.07456409717591321
6 m,16.999998,-0.02710234373807907,0.30716850608587265,0.10132941416983038
6 m,17.249998,0.0031616613268852234,0.3066713437438011,0.1313910260724686
6 m,17.499998,0.050191573798656464,0.306174173951149,0.1882801890558873
6 m,17.749998,0.09974481165409088,0.30567701160907745,0.20938198297481075
6 m,17.999998,0.13423678278923035,0.3051798492670059,0.18311858633993575
6 m,18.249998,0.15244541317224503,0.3046826869249344,0.1414711432510732
6 m,18.499998,0.15361856669187546,0.30418552458286285,0.13707989482705474
6 m,18.749998,0.1399877592921257,0.3036883547902107,0.16139114909079352
6 m,18.999998,0.12205846607685089,0.3031911924481392,0.14799944111902855
6 m,19.249997999999998,0.10857418924570084,0.30269403010606766,0.10170986392736647
6 m,19.499997999999998,0.11283600330352783,0.3021968677639961,0.11249440355466661
