band,time_s,rolling_60s_slope_hz_per_min
6 m,30.874998000000005,0.6084121765045339
6 m,35.874998000000005,0.4778118033692428
6 m,40.874998000000005,0.23427261655699486
6 m,45.874998000000005,-0.03933939261342036
6 m,50.874998000000005,-0.32867188014074633
6 m,55.874998000000005,-0.5310149834791914
6 m,60.874998,-0.6480025892413835
6 m,65.87499799999999,-0.7714348043384271
6 m,70.87499799999999,-0.787014681836397
6 m,75.87499799999999,-0.6961234883706008
6 m,80.874998,-0.5816362754087444
6 m,85.874998,-0.4856874900811423
6 m,90.87499799999999,-0.37018631614775255
6 m,95.87499799999999,-0.22743227188702794
6 m,100.87499799999999,-0.12599167685178908
6 m,105.87499799999999,-0.07541447413397605
6 m,110.874998,-0.00674502240253804
6 m,115.87499799999999,0.030779963330731283
6 m,120.87499799999999,0.10163644040388375
6 m,125.87499799999999,0.06437883228396296
6 m,130.87499799999998,0.05054841484615439
6 m,135.87499799999998,0.04999024383027154
6 m,140.87499799999998,-0.018409100143022522
6 m,145.87499800000003,-0.04104431882376526
6 m,150.87499800000003,0.0210209525606007
6 m,155.87499800000003,0.0929524995014709
6 m,160.87499800000003,0.07589817015519738
6 m,165.87499800000003,0.02862623367331435
6 m,170.87499800000003,-0.03114140112108497
6 m,175.87499800000006,-0.0672761618908361
6 m,180.87499800000006,-0.047762461307817854
6 m,185.87499800000006,-0.1280272033243149
6 m,190.87499800000006,-0.2594505779995743
6 m,195.87499800000006,-0.32350697790710714
6 m,200.87499800000006,-0.38951813975689514
6 m,205.87499800000006,-0.4049572342949826
6 m,210.87499800000006,-0.23467572844542406
6 m,215.87499800000006,-0.14175013703908632
6 m,220.8749980000001,-0.0933212346169246
6 m,225.8749980000001,-0.022691354169349295
6 m,230.8749980000001,-0.000940311589209687
6 m,235.8749980000001,0.01230906037528244
6 m,240.8749980000001,0.0546983012938035
6 m,245.8749980000001,0.10824673169710511
6 m,250.87499800000012,-0.018956364247513662
6 m,255.87499800000012,-0.1019638582241197
6 m,260.8749980000001,-0.1077469595760294
4 m,30.874998000000005,0.6457451520152279
4 m,35.874998000000005,0.5128596810491941
4 m,40.874998000000005,0.3162514802905174
4 m,45.874998000000005,0.02311372683188473
4 m,50.874998000000005,-0.2788163166377776
4 m,55.874998000000005,-0.45209655834689855
4 m,60.874998,-0.6753856560179182
4 m,65.87499799999999,-0.8273595375918998
4 m,70.87499799999999,-0.9293443648857578
4 m,75.87499799999999,-1.0156779574611052
4 m,80.874998,-1.0253995608722781
4 m,85.874998,-0.9318688980669664
4 m,90.87499799999999,-0.8845528363846258
4 m,95.87499799999999,-0.8428335072942759
4 m,100.87499799999999,-0.7516252026271573
4 m,105.87499799999999,-0.830305021086618
4 m,110.874998,-0.9400433396989865
4 m,115.87499799999999,-0.8773036723219473
4 m,120.87499799999999,-0.8856024709204617
4 m,125.87499799999999,-0.8832291410029052
4 m,130.87499799999998,-0.8054204303659718
4 m,135.87499799999998,-0.6474655030187513
4 m,140.87499799999998,-0.4776412663148297
4 m,145.87499800000003,-0.3032364135448385
4 m,150.87499800000003,-0.17695984702030365
4 m,155.87499800000003,-0.17470848232099323
4 m,160.87499800000003,-0.18319593364506903
4 m,165.87499800000003,-0.19114301447326407
4 m,170.87499800000003,-0.21408030928659702
4 m,175.87499800000006,-0.22317934855411595
4 m,180.87499800000006,-0.32221236612709336
4 m,185.87499800000006,-0.4607799547987926
4 m,190.87499800000006,-0.4429068840996218
4 m,195.87499800000006,-0.30351465181910275
4 m,200.87499800000006,-0.16564096881240542
4 m,205.87499800000006,-0.07789532392957377
4 m,210.87499800000006,0.039171505116260934
4 m,215.87499800000006,0.17792625640524046
4 m,220.8749980000001,0.23030621805915558
4 m,225.8749980000001,0.36155997286498404
4 m,230.8749980000001,0.4647102684154687
4 m,235.8749980000001,0.6686809275261681
4 m,240.8749980000001,0.7414126019970588
4 m,245.8749980000001,0.8075040672025771
4 m,250.87499800000012,0.8950399106813041
4 m,255.87499800000012,1.0070570340124607
4 m,260.8749980000001,0.9348255945231398
